virtualization_technology_KVM,virtualization_technology_LXC,virtualization_technology_VirtualBox,workflow_ci,workflow_containers,workflow_vue-ci,time,vcpu,memory,hint_dedicated,vcpupin,emulatorpin,iothreadpin,shares,cachetune,hotplug,enable_nesting_pages,enable_pae,execution_cap,cpu_limit
1,0,0,0,1,0,2145.0,1.0,4000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
0,0,1,0,1,0,2052.0,1.0,4000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,100.0,-1.0
1,0,0,1,0,0,366.0,1.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,1,0,0,369.0,1.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2248.0,1.0,4096.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2366.0,1.0,4096.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2215.0,1.0,4096.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,0,1,1,0,0,393.0,1.0,4241.0,0.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,100.0,-1.0
0,0,1,1,0,0,365.0,1.0,4241.0,0.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,100.0,-1.0
1,0,0,0,1,0,2438.0,1.0,5000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
0,0,1,0,1,0,1140.0,1.0,5000.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,100.0,-1.0
1,0,0,0,1,0,1962.0,1.0,6000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2008.0,1.0,6000.0,0.0,1.0,0.0,0.0,2048.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2082.0,1.0,6000.0,0.0,1.0,0.0,0.0,2048.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2121.0,1.0,6000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2276.0,1.0,6000.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2283.0,2.0,6000.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,0,1,0,2760.0,2.0,6000.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
0,0,1,0,0,1,365.0,1.0,6000.0,-1.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,100.0,-1.0
0,0,1,0,1,0,641.0,1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,100.0,-1.0
0,0,1,0,1,0,1955.0,1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,100.0,-1.0
0,0,1,0,1,0,1924.0,1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,100.0,-1.0
0,0,1,0,1,0,2145.0,1.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,100.0,-1.0
0,0,1,0,1,0,3424.0,2.0,6000.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,100.0,-1.0
0,0,1,0,1,0,1884.0,1.0,6702.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,100.0,-1.0
1,0,0,0,1,0,1990.0,1.0,7000.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,1,0,0,352.0,1.0,7040.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
1,0,0,1,0,0,358.0,1.0,7040.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
0,1,0,0,1,0,1747.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
0,1,0,0,1,0,1952.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
0,1,0,0,1,0,1879.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
0,1,0,0,1,0,1646.0,2.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
0,0,1,0,1,0,1952.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,100.0,-1.0
0,0,1,0,1,0,2003.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,100.0,-1.0
0,0,1,0,1,0,2227.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,100.0,-1.0
0,0,1,0,1,0,960.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,100.0,-1.0
